MOVIE NAME,YEAR,MALE SINGER COUNT,FEMALE SINGER COUNT,MALE SONG COUNT,FEMALE SONG COUNT
Sadak Chhap_1987,1987,2,2,6,4
Naya Din Nai Raat_1974,1974,2,2,2,4
Ladaai_1989,1989,1,2,1,2
Swarg Yahan Narak Yahan_1991,1991,4,2,11,8
Ranbhoomi_1991,1991,2,4,2,5
Ek Ladka Ek Ladki_1992,1992,3,3,5,6
Chacha Bhatija_1977,1977,2,1,3,3
Khotey Sikkay_1974,1974,1,2,1,3
Sindoor (film)_1987,1987,3,2,3,5
Aarambh_1976,1976,2,2,4,6
Sapnay (1997 film)_1997,1997,6,6,6,6
Tridev_1989,1989,3,4,3,11
Daku Hasina_1987,1987,2,3,2,3
Aaina (1993 film)_1993,1993,4,3,4,9
Vaada Raha_2009,2009,2,0,5,0
Aashiq Awara_1993,1993,1,3,4,7
Sadda Adda_2012,2012,2,1,6,2
Traffic (2016 film)_2016,2016,3,2,3,3
Kissi Se Na Kehna_1983,1983,1,1,1,5
Ahimsa (1979 film)_1979,1979,4,1,5,3
Banarasi Babu (1973 film)_1973,1973,1,2,6,10
Ek Hi Bhool_1981,1981,1,2,1,4
Radha Ka Sangam_1992,1992,2,3,3,7
Har Dil Jo Pyar Karega_2000,2000,4,1,7,4
Duplicate (1998 film)_1998,1998,4,2,7,4
Pathreela Raasta_1994,1994,3,2,7,7
Prem Geet_1981,1981,2,2,3,5
Saajan Chale Sasural_1996,1996,3,2,7,5
Chameli Ki Shaadi_1986,1986,2,2,2,3
Jeena Teri Gali Mein_1991,1991,4,1,6,9
Virodhi (1992 film)_1992,1992,2,2,4,3
Jaane-Anjaane_1971,1971,3,4,4,5
Agneepath (1990 film)_1990,1990,3,4,3,4
Chitchor (1976 film)_1976,1976,1,1,4,2
Deewana Mastana_1997,1997,2,3,4,5
Trishakti_1999,1999,4,0,8,0
Naya Zamana (1971 film)_1971,1971,2,1,5,8
Insaniyat Ke Devta_1993,1993,2,2,3,3
Khoon Aur Paani_1981,1981,2,2,3,4
Afsana Pyaar Ka_1991,1991,1,3,1,7
Bewaffa Se Waffa_1992,1992,0,2,0,6
Maha Chor_1976,1976,1,3,7,6
Thank You (2011 film)_2011,2011,4,3,8,5
Namumkin_1988,1988,1,2,3,3
Naam O Nishan_1987,1987,1,2,1,3
Abhinetri_1970,1970,2,2,2,7
Maan Apmaan_1979,1979,1,3,2,5
Dil Ki Baazi_1993,1993,2,3,3,8
Khiladi 786_2012,2012,5,3,15,9
Raunaq_1993,1993,0,1,0,2
Lahu Ke Do Rang (1997 film)_1997,1997,4,4,6,7
Balmaa_1993,1993,2,2,4,6
Ghayal (1990 film)_1990,1990,2,4,3,6
Hey Ram_2000,2000,4,6,8,7
Rakshak_1996,1996,6,3,7,4
Listen... Amaya_2013,2013,1,0,2,0
Sharara_1984,1984,1,2,2,5
Hum Aapke Hain Koun..!_1994,1994,4,2,12,12
Juaari_1994,1994,4,4,5,6
Chaani_1977,1977,1,2,2,6
Do Lafzon Ki Kahani (film)_2016,2016,2,2,2,2
Ekka Raja Rani_1994,1994,3,2,8,7
Tahkhana_1986,1986,0,3,0,5
Apradhi (1992 film)_1992,1992,1,1,1,3
Chillar Party_2011,2011,3,0,6,0
Azad Mohabbat_1974,1974,1,2,2,4
Uttarayan (film)_1985,1985,1,0,1,0
Dillagi (1978 film)_1978,1978,2,2,3,5
Zindagi (1976 film)_1976,1976,1,1,3,2
Wedding Anniversary (2017 film)_2017,2017,2,0,3,0
Izzat Ki Roti_1993,1993,3,3,4,12
Zulm-O-Sitam_1998,1998,3,1,8,1
Khule-Aam_1992,1992,0,2,0,8
Beta (1992 film)_1992,1992,2,1,5,9
Parinda_1989,1989,2,1,6,2
Ek Nari Ek Brahmachari_1971,1971,3,2,5,3
Seema (1971 film)_1971,1971,2,4,8,10
Dostana (1980 film)_1980,1980,1,2,4,2
Patiala House (film)_2011,2011,7,3,13,7
Lahore (film)_2010,2010,7,2,13,4
Khatarnaak_1990,1990,1,3,2,5
Kissa Kursi Ka_1977,1977,3,1,3,2
Bemisal_1982,1982,2,1,4,2
Hum Tum Aur Woh_1971,1971,0,0,0,0
Karan (1994 film)_1994,1994,2,4,6,6
The Train (1970 film)_1970,1970,1,2,1,5
Policegiri_2013,2013,3,2,5,3
Zindagi Zindagi_1972,1972,4,1,14,1
Hum Saath-Saath Hain: We Stand United_1999,1999,5,3,14,11
Karishma Kudrat Kaa_1985,1985,2,1,2,5
Khalnayak (1993 film)_1993,1993,1,2,1,7
Miley naa Miley hum (2011 film)_2011,2011,3,4,3,4
De Dana Dan_2009,2009,4,0,7,0
